video_id,trending_date,title,channel_title,category_id,publish_date,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
Prb_osSVE0M,14-11-2017,Renu Desai Gives Rating For Pawan kalyan As Husband | Open Heart With RK | ABN Telugu,ABN Telugu,25,13-11-2017,156085,716,53,0,TRUE,FALSE,FALSE
1kuJkA9usqg,14-11-2017,"Deivamagal Episode 1387, 13/11/17",VikatanTV,24,13-11-2017,387221,2159,1214,711,FALSE,FALSE,FALSE
znOC3IU0dF8,14-11-2017,Hero Tarun at #ChaySamWeddingReception | Samantha & Naga Chaitanya Reception Videos | News Mantra,News Mantra,24,13-11-2017,55178,45,94,15,FALSE,FALSE,FALSE
z3V9LUA6VQM,14-11-2017,ఆమె బ్యాంకు అకౌంట్ లో పొరపాటున 125 కోట్లు జమయాయ్యి..! దీంతో ఆమె ఏం చేసిందో తెలుసా..|| OmFut,OmFut,24,12-11-2017,236710,858,197,66,FALSE,FALSE,FALSE
gW4Su5wq0b8,14-11-2017,Neeya Naana - 12th November 2017 - Promo 2,Vijay Television,24,11-11-2017,261202,1971,126,201,FALSE,FALSE,FALSE
qP67alYxSiU,14-11-2017,కెమెరాలో రికార్డ్ అయిన ఈ అద్భుతాన్ని చూస్తే ఆశ్చర్యపోతారు.. HOTNEWS TELUGU,HOTNEWS TELUGU,26,12-11-2017,128851,0,0,0,TRUE,TRUE,FALSE
1OTwWFJY_0I,14-11-2017,[PWW] Plenty Wrong With BAHUBALI 2 (450 Mistakes In Baahubali 2) Full Movie | Bollywood Sins #29,Bollywood Sins,24,12-11-2017,156063,5406,534,1047,FALSE,FALSE,FALSE
JSkOecmAFFo,14-11-2017,Girls On A Date ft. Komal Pandey | The Timeliners,The Timeliners,24,11-11-2017,793778,21956,1590,1661,FALSE,FALSE,FALSE
Yvp9jUJtMuY,14-11-2017,Naa Show Naa Ishtam |Sathvik &Komali Sisters| 11th November 2017 | Full Episode 105 | ETV Plus,ETV Plus India,23,11-11-2017,309490,1560,200,108,FALSE,FALSE,FALSE
7yTWI873yfg,14-11-2017,Review On Bigg Boss 11: OMG! Hina Khan Vs Salman Khan part 2,Saas Bahu Aur Betiyaan,24,11-11-2017,334780,1307,230,744,FALSE,FALSE,FALSE
l3fRny54z4U,14-11-2017,സൗബിനെ വെറും  30 സെക്കൻഡ് സമയം കൊണ്ട് വളച്ചെടുത്ത പേർളി !!,Asianet,24,13-11-2017,54861,247,20,10,FALSE,FALSE,FALSE
MXH7yFFl3fE,14-11-2017,"8 राशियों की लगेंगी लॉटरी,16 नवम्बर के बाद खुब बरसेगा पैसा व प्यार,सूर्य राशि महापरिवर्तन",AstroMitram,22,12-11-2017,97522,838,189,49,FALSE,FALSE,FALSE
hDUel4MX-Fw,14-11-2017,13 November 2017-The Hindu Editorial News Paper Analysis- [UPSC/SSC/IBPS] Current affairs,Study IQ education,27,13-11-2017,47352,2240,31,543,FALSE,FALSE,FALSE
TuOBfQRXwhQ,14-11-2017,"13 नवम्बर से इन 9 राशि वालों का खुलेगा किस्मत का ताला, कहीं आप की राशि तो नहीं इन में से एक जानिए",Brijnaari Sumi,22,12-11-2017,109594,790,189,145,FALSE,FALSE,FALSE
1WTtrHW7uw8,14-11-2017,"Bigg Boss 11 | Eviction Interview | ANGRY Mehjabi calls Hina, Priyank FAKE",BookMyTV,24,12-11-2017,150806,1311,508,740,FALSE,FALSE,FALSE
w5qMOyPuUqU,14-11-2017,வாணி ராணி - VAANI RANI -  Episode 1416 - 13/11/2017,RadaanMedia,24,13-11-2017,170707,1152,178,166,FALSE,FALSE,FALSE
8vBjlhp73hU,14-11-2017,భార్య తో వెంకటేష్ ...Venkatesh Wife Neeraja At Samantha Naga Chaitanya Wedding Reception..Allu Arjun,Around Telugu,24,13-11-2017,154502,543,15,15,FALSE,FALSE,FALSE
WPuhu6dYyQY,14-11-2017,"Baal Veer - बाल वीर - Episode 777 (Part 1) - 11th November, 2017",Sony PAL,43,11-11-2017,433053,938,298,119,FALSE,FALSE,FALSE
XjF2n3NaoSk,14-11-2017,Konchem Touch Lo Unte Chepta Season 3 - Rajasekhar and his Family Promo - Pradeep Machiraju,Pradeep Machiraju,22,10-11-2017,1025941,6019,234,280,FALSE,FALSE,FALSE
